microrregiao,emissoes_diretas,emissoes_encadeadas
São Miguel do Oeste,675.48,122.51
Chapecó,347.53,300.89
Xanxerê,762.82,709.03
Joaçaba,902.96,178.24
Concórdia,479.73,126.82
Canoinhas,296.77,554.82
São Bento do Sul,123.88,278.95
Joinville,684.9,590.45
Curitibanos,298.4,630.34
Campos de Lages,828.49,105.85
Rio do Sul,825.24,728.33
Blumenau,406.23,239.93
Itajaí,961.49,402.94
Ituporanga,183.47,187.04
Tijucas,862.74,643.35
Florianópolis,826.42,756.76
Tabuleiro,582.61,975.8
Tubarão,440.68,596.84
Criciúma,846.46,656.67
Araranguá,875.54,619.62
