atividade,emissoes_diretas_gg_co2,emissoes_insumos_gg_co2,emissoes_totais_gg_co2
0191,10604.605714285715,14054.12742857394,24658.733142859655
0192,6067.9400000000005,7957.029488533548,14024.969488533548
0280,5787.678571428572,985.1513307297619,6772.829902158333
0580,1494.0700000000002,1106.1747473494352,2600.2447473494353
0680,1719.8400000000001,8468.86272740138,10188.70272740138
0791,1055.06,2733.99639680649,3789.05639680649
0792,1817.3385714285716,1122.6613771892319,2939.9999486178035
1091,29894.622857142862,25609.625680169116,55504.24853731198
1092,24582.32571428571,3834.2178442873374,28416.54355857305
1093,28216.834285714285,22808.08117033691,51024.915456051196
1100,30031.571428571428,11171.589022774206,41203.16045134563
1200,840.3942857142857,1028.2268424525573,1868.621128166843
1300,3515.414285714286,3231.8862165516175,6747.300502265904
1400,4028.4171428571426,3482.8974819924906,7511.314624849633
1500,2241.497142857143,3060.4850091886797,5301.982152045823
1600,1595.28,2185.163038452384,3780.443038452384
1700,3557.781428571429,6161.314593759664,9719.096022331092
1800,3477.3214285714284,1149.568161567454,4626.889590138882
1991,9067.047142857144,25997.17467496412,35064.221817821264
1992,1652.4385714285715,3482.6651588106406,5135.103730239212
2091,8524.075714285715,9951.419443787836,18475.49515807355
2092,3298.577142857143,5249.671569734059,8548.248712591201
2093,3353.6428571428573,3538.922650675089,6892.565507817946
2100,4803.3942857142865,3397.7807597695974,8201.175045483884
2200,6503.85,7187.934689902868,13691.784689902868
2300,4990.272857142857,7412.106736236731,12402.379593379588
2491,4063.6800000000003,9637.557825463531,13701.237825463531
2492,2531.46,5784.079407331429,8315.53940733143
2500,4563.45,5827.065155928346,10390.515155928346
2600,9738.171428571428,4334.381053656469,14072.552482227897
2700,5039.860000000001,5040.8881586083535,10080.748158608354
2800,6721.26,6779.606935401393,13500.866935401393
2991,1464.46,10803.736375286742,12268.196375286743
2992,2819.88,5042.6579584204355,7862.537958420436
3000,2842.264285714286,3019.1567551530893,5861.421040867375
3180,5229.565714285714,3775.887021748873,9005.452736034587
3300,2766.0857142857144,2959.3865594938657,5725.47227377958
3500,56620.65142857143,38302.923571167084,94923.57499973851
3680,51802.235714285714,3783.155743668998,55585.39145795471
4180,38841.77714285714,32158.405492933467,71000.18263579061
4580,26732.815714285713,47167.17932576638,73899.99504005209
4900,5230.578571428572,15542.038562231426,20772.61713366
5000,3040.6857142857143,998.7617435179441,4039.4474578036584
5100,2773.6800000000003,2220.7415002073276,4994.421500207328
5280,4112.285714285714,6340.504027393994,10452.789741679708
5500,7265.5428571428565,1854.3123452761229,9119.85520241898
5600,7660.320000000001,22909.346980935406,30569.666980935406
5800,5882.408571428571,1327.02897390639,7209.437545334961
5980,12277.131428571429,4339.942980658245,16617.074409229674
6100,11502.785714285714,12115.640235498016,23618.42594978373
6280,11657.007142857143,4248.803629270362,15905.810772127505
6480,16417.457142857143,22293.26440210011,38710.721544957254
6800,18717.565714285716,3830.598819350911,22548.164533636627
6980,12882.377142857144,6948.042322866253,19830.419465723397
7180,12549.508571428572,2708.614205669075,15258.122777097647
7380,11861.142857142859,16300.340381934733,28161.483239077592
7700,12523.062857142857,1568.945848505542,14092.008705648399
7880,13399.07142857143,9917.988793469876,23317.060222041306
8000,13242.228571428574,666.3040082893422,13908.532579717916
8400,24672.685714285715,31601.142676420557,56273.82839070627
8591,6180.68,8307.3050933743,14487.9850933743
8592,4273.2128571428575,4687.712960467453,8960.92581761031
8691,3583.1,8300.11445077501,11883.21445077501
8692,6362.314285714287,8559.403584484307,14921.717870198594
9080,10488.245714285713,2108.1487854280003,12596.394499713713
9480,10191.300000000001,9836.108049241937,20027.408049241938
9700,10450.754285714285,0.0,10450.754285714285
