codigo_ibge,microrregiao,no2_pmolec_cm2,no2_mol_m2,fracao_area_observada,celulas_validas,peso_harp_medio_area,ano
42009,Curitibanos,0.46535849970516396,7.727459690018338e-06,1.0,316,168.12267,2023
42003,Xanxerê,0.5259897768875459,8.734265734558252e-06,1.0,225,175.16214,2023
42014,Ituporanga,0.647634310965161,1.0754220745998653e-05,1.0,85,166.79971,2023
42011,Rio do Sul,0.6370248855443258,1.0578047092083013e-05,1.0,233,159.30653,2023
42004,Joaçaba,0.48623819827284837,8.074175241842877e-06,1.0,398,164.14961,2023
42002,Chapecó,0.6419365793601084,1.0659607686754045e-05,1.0,274,195.48299,2023
42017,Tabuleiro,0.5869145288549686,9.745945042556073e-06,1.0,121,148.45706,2023
42005,Concórdia,0.6227210854584787,1.0340526903567075e-05,1.0,160,190.5573,2023
42001,São Miguel do Oeste,0.597742424792248,9.925746484747528e-06,1.0,205,195.31285,2023
42015,Tijucas,0.7744091543727595,1.2859366548130293e-05,1.0,110,156.93864,2023
42010,Campos de Lages,0.49886912359756436,8.283916691405338e-06,1.0,664,165.11777,2023
42016,Florianópolis,0.8995039592039942,1.4936614653357824e-05,1.0,135,170.95355,2023
42012,Blumenau,0.8854765674292808,1.4703684332833178e-05,1.0,221,153.47112,2023
42008,Joinville,1.1609828569262073,1.927857390245072e-05,1.0,206,146.3741,2023
42020,Araranguá,0.7976106660330612,1.32446367134245e-05,1.0,150,162.60292,2023
42018,Tubarão,0.9269037316491519,1.5391598579126402e-05,1.0,218,185.15353,2023
42013,Itajaí,1.1950088614733299,1.9843589000954034e-05,1.0,93,176.8131,2023
42006,Canoinhas,0.5944262782259743,9.870680575489808e-06,1.0,412,160.4264,2023
42007,São Bento do Sul,0.8187423975076383,1.3595537370130127e-05,1.0,105,142.86389,2023
42019,Criciúma,0.9758122070883456,1.6203742920953337e-05,1.0,105,167.62714,2023
