codigo_ibge,microrregiao,nome_sidra,ano,vab_agropecuaria_mil_reais,vab_industria_mil_reais,vab_servicos_mil_reais,vab_administracao_publica_mil_reais,vab_total_mil_reais,vab_total_bilhoes_reais
42001,São Miguel do Oeste,São Miguel do Oeste (SC),2015,906976.0,1108280.0,1897187.0,740788.0,4653231.0,4.653231
42002,Chapecó,Chapecó (SC),2015,1440029.0,3581200.0,6356584.0,1796970.0,13174783.0,13.174783
42003,Xanxerê,Xanxerê (SC),2015,816373.0,992957.0,1697053.0,671807.0,4178190.0,4.17819
42004,Joaçaba,Joaçaba (SC),2015,1330799.0,3397195.0,4232555.0,1440111.0,10400660.0,10.40066
42005,Concórdia,Concórdia (SC),2015,693174.0,1941345.0,1947916.0,632231.0,5214666.0,5.214666
42006,Canoinhas,Canoinhas (SC),2015,1194528.0,1482542.0,2274256.0,970685.0,5922011.0,5.922011
42007,São Bento do Sul,São Bento do Sul (SC),2015,162999.0,1527005.0,1425449.0,565703.0,3681156.0,3.681156
42008,Joinville,Joinville (SC),2015,372391.0,14139117.0,17723369.0,4114215.0,36349092.0,36.349092
42009,Curitibanos,Curitibanos (SC),2015,599195.0,1235633.0,1390801.0,538544.0,3764173.0,3.764173
42010,Campos de Lages,Campos de Lages (SC),2015,912162.0,1937929.0,3268374.0,1185256.0,7303721.0,7.303721
42011,Rio do Sul,Rio do Sul (SC),2015,591790.0,1504251.0,2533093.0,894180.0,5523314.0,5.523314
42012,Blumenau,Blumenau (SC),2015,246734.0,9698519.0,13407514.0,3076309.0,26429076.0,26.429076
42013,Itajaí,Itajaí (SC),2015,343293.0,4591690.0,16418836.0,3122734.0,24476553.0,24.476553
42014,Ituporanga,Ituporanga (SC),2015,332618.0,322523.0,569787.0,244162.0,1469090.0,1.46909
42015,Tijucas,Tijucas (SC),2015,152212.0,930207.0,1110566.0,425210.0,2618195.0,2.618195
42016,Florianópolis,Florianópolis (SC),2015,474803.0,4502998.0,19550295.0,4155541.0,28683637.0,28.683637
42017,Tabuleiro,Tabuleiro (SC),2015,185816.0,52653.0,169656.0,105884.0,514009.0,0.514009
42018,Tubarão,Tubarão (SC),2015,848114.0,2354589.0,4804600.0,1555865.0,9563168.0,9.563168
42019,Criciúma,Criciúma (SC),2015,315062.0,4134789.0,5730931.0,1559255.0,11740037.0,11.740037
42020,Araranguá,Araranguá (SC),2015,566624.0,832422.0,1873377.0,739236.0,4011659.0,4.011659
