atividade,descricao_atividade,producao,consumo,renda
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",9279.029999999999,5622.192026210248,24418.25394610681
0192,"Pecuária, inclusive o apoio à pecuária",5480.72,3935.358260015083,9948.388777527889
0280,Produção florestal; pesca e aquicultura,5509.870000000001,3462.6509269516882,5903.421126735079
0580,Extração de carvão mineral e de minerais não metálicos,1578.64,120.9093686314914,2367.5055439250127
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",1719.8400000000001,1748.2356135486332,9669.446071318751
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",1055.06,151.26543868920555,1048.6319353284825
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",1610.3000000000002,272.2924008953657,1030.971285176496
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",25519.800000000003,32666.8195620723,6144.546566944375
1092,Fabricação e refino de açúcar,27878.28,6494.856943299216,6145.2781428628105
1093,Outros produtos alimentares,22790.52,26432.24689959276,8868.921096166447
1100,Fabricação de bebidas,29048.72,21939.345843902738,12732.41276829268
1200,Fabricação de produtos do fumo,905.04,1697.3340359320446,304.90994361987003
1300,Fabricação de produtos têxteis,3714.4,2737.83856155697,3199.368639956965
1400,Confecção de artefatos do vestuário e acessórios,4291.14,8869.234301551282,2912.3494229444705
1500,Fabricação de calçados e de artefatos de couro,2413.92,4011.4055912194326,1337.1861947171744
1600,Fabricação de produtos da madeira,1595.28,81.31343742093856,1692.616455856608
1700,"Fabricação de celulose, papel e produtos de papel",3213.48,1428.7838818679465,3762.121089849837
1800,Impressão e reprodução de gravações,3894.6000000000004,215.90098757148021,3693.2156483091253
1991,Refino de petróleo e coquerias,7466.9800000000005,9360.750447265942,12965.975304702923
1992,Fabricação de biocombustíveis,1285.23,1899.6021529545847,958.3321992139045
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",7276.650000000001,1134.7760663608851,11894.243206797919
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2979.36,658.9725247969103,5275.95630927159
2093,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",2833.2500000000005,6263.896906222808,1596.561408771801
2100,Fabricação de produtos farmoquímicos e farmacêuticos,4058.0400000000004,7911.889348090244,2753.5113930438592
2200,Fabricação de produtos de borracha e de material plástico,6070.26,1956.527547818379,7566.222248573159
2300,Fabricação de produtos de minerais não metálicos,5374.139999999999,476.3905651466269,6373.469565413618
2491,"Produção de ferro gusa/ferroligas, siderurgia e tubos de aço sem costura",4063.6800000000003,111.6939441302655,4127.3756125087175
2492,Metalurgia de metais não ferosos e a fundição de metais,2286.48,481.4325837497188,2335.3450002760123
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",4563.45,2862.63746891951,6867.793488544771
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",9372.99,18941.6499909483,6960.764752922904
2700,Fabricação de máquinas e equipamentos elétricos,5039.860000000001,6845.229900780738,4497.441452656892
2800,Fabricação de máquinas e equipamentos mecânicos,7238.28,12963.752740458596,5468.809738675034
2991,"Fabricação de automóveis, caminhões e ônibus, exceto peças",1464.46,15769.403387294402,723.8995128576614
2992,Fabricação de peças e acessórios para veículos automotores,2819.88,529.844149286011,2397.6810342529116
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3060.9,4128.16982329679,1993.0129375169672
3180,Fabricação de móveis e de produtos de indústrias diversas,4927.860000000001,8157.798584186374,3434.2818908161994
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",2498.4,1415.0360366177697,5973.725805509981
3500,"Energia elétrica, gás natural e outras utilidades",67795.78,35323.305095638614,54628.7382977667
3680,"Água, esgoto e gestão de resíduos",64730.35,27238.98828939501,46669.0570235479
4180,Construção,44261.560000000005,72331.23348975285,32884.923601437855
4580,Comércio por atacado e varejo,22015.260000000002,48414.50863240731,49809.75007009093
4900,Transporte terrestre,6657.1,7724.445305553937,19139.81605301188
5000,Transporte aquaviário,2610.4,354.0401749241236,2439.088664447704
5100,Transporte aéreo,2613.6600000000003,1582.5824211171214,2722.7141379750406
5280,"Armazenamento, atividades auxiliares dos transportes e correio",4605.76,2675.060295687038,9330.466123430897
5500,Alojamento,6957.099999999999,3855.292342781826,4999.773871393222
5600,Alimentação,6702.78,28987.95255947788,5517.420804664812
5800,Edição e edição integrada à impressão,4916.639999999999,3906.6619980403166,3411.119325701927
5980,"Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem",13021.199999999999,769.1355042237434,13891.022524219796
6100,Telecomunicações,12883.12,15959.046841057949,10688.667342335371
6280,Desenvolvimento de sistemas e outros serviços de informação,10042.960000000001,8310.200166747494,13051.181921891011
6480,"Intermediação financeira, seguros e previdência complementar",11492.22,16689.788856907817,28714.21492873797
6800,Atividades imobiliárias,16377.869999999999,17823.627432969628,22797.642659622277
6980,"Atividades jurídicas, contábeis, consultoria e sedes de empresas ",11272.08,1391.6975875019443,24007.51612015122
7180,"Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",13460.36,2115.275121093327,14934.13994739895
7380,"Outras atividades profissionais, científicas e técnicas",12265.5,475.2738252296575,10540.356180356688
7700,Aluguéis não imobiliários e gestão de ativos de propriedade intelectual,10957.68,1624.8226476508237,12169.733305377948
7880,Outras atividades administrativas e serviços complementares,12505.8,4695.941410711149,21529.9583466447
8000,"Atividades de vigilância, segurança e investigação",13584.7,176.85682859162623,15097.84792169653
8400,"Administração pública, defesa e seguridade social",21588.6,56668.52656109375,18491.162879417014
8591,Educação pública,6180.68,15871.71899244545,5503.338824571981
8592,Educação privada,3323.6099999999997,8347.542725694755,3640.9143493581373
8691,Saúde pública,3583.1,13820.026192426414,2593.1239916465443
8692,Saúde privada,4453.62,13546.566038362587,3355.02729662443
9080,"Atividades artísticas, criativas e de espetáculos",10042.99,10582.398053692361,7605.825226611807
9480,Organizações associativas e outros serviços pessoais,10191.300000000001,20193.92599820168,7764.08074190311
9700,Serviços domésticos,9919.36,9919.36,9919.36
