setor_id,setor,coeficiente_2011_gg_co2_por_r_milhao
S1,"Agriculture, including support for agriculture and post-harvest",0.04
S2,"Livestock, including support for livestock",0.05
S3,Forest production; fishing and aquaculture,0.19
S4,Extraction of coal and non-metallic minerals,0.07
S5,"Oil and gas extraction, including support activities",0.01
S6,"Iron ore extraction, including beneficiation and agglomeration",0.02
S7,"Extraction of non-ferrous metallic minerals, including beneficiation",0.13
S8,"Slaughter and meat products, including dairy and fish products",0.14
S9,Sugar manufacturing and refining,0.42
S10,Other food products,0.14
S11,Beverage manufacturing,0.41
S12,Manufacture of tobacco products,0.05
S13,Manufacture of textile products,0.07
S14,Manufacture of garments and accessories,0.06
S15,Manufacture of footwear and leather goods,0.05
S16,Manufacture of wood products,0.06
S17,"Manufacture of pulp, paper and paper products",0.05
S18,Printing and playing back recordings,0.15
S19,Oil refining and coke ovens,0.03
S20,Biofuel manufacturing,0.05
S21,"Manufacture of organic and inorganic chemicals, resins and elastomers",0.07
S22,"Manufacture of pesticides, disinfectants, paints and various chemicals",0.05
S23,"Manufacture of cleaning products, cosmetics/perfumery and personal hygiene",0.1
S24,Manufacture of pharmochemicals and pharmaceuticals,0.1
S25,Manufacture of rubber and plastic material products,0.07
S26,Manufacture of non-metallic mineral products,0.05
S27,"Production of pig iron / ferroalloys, steel and seamless steel tubes",0.04
S28,Metallurgy of non-ferrous metals and metal smelting,0.05
S29,"Manufacture of metal products, except machinery and equipment",0.05
S30,"Manufacture of computer equipment, electronic and optical products",0.12
S31,Manufacture of electrical machinery and equipment,0.07
S32,Manufacture of machinery and mechanical equipment,0.05
S33,"Manufacture of automobiles, trucks and buses, except for parts",0.01
S34,Manufacture of parts and accessories for motor vehicles,0.04
S35,"Manufacture of other transport equipment, except motor vehicles",0.05
S36,Manufacture of furniture and products of various industries,0.08
S37,"Maintenance, repair and installation of machinery and equipment",0.05
S38,"Electricity, natural gas and other utilities",0.16
S39,"Water, sewage and waste management",0.55
S40,Construction,0.05
S41,Wholesale and retail trade,0.03
S42,Ground transportation,0.01
S43,Water transportation,0.18
S44,Air transport,0.08
S45,"Storage, auxiliary transport and mail activities",0.03
S46,Accommodation,0.32
S47,Food,0.04
S48,Print-integrated editing and editing,0.35
S49,"Television, radio, film and sound and image recording/editing activities",0.26
S50,Telecommunications,0.06
S51,Development of systems and other information services,0.11
S52,"Financial intermediation, insurance and supplementary pensions",0.04
S53,Real estate activities,0.04
S54,"Legal, accounting, consulting and company headquarters",0.08
S55,"Architectural, engineering, technical testing/analysis and R&D services",0.16
S56,"Other professional, scientific and technical activities",0.12
S57,Non-real estate rentals and intellectual property asset management,0.32
S58,Other administrative activities and complementary services,0.07
S59,"Surveillance, security and investigation activities",0.32
S60,"Public administration, defense and social security",0.04
S61,Public education,0.02
S62,Private education,0.05
S63,Public health,0.02
S64,Private health,0.04
S65,"Artistic, creative and entertainment activities",0.32
S66,Membership organizations and other personal services,0.07
S67,Domestic services,0.18
