id,arquivo,sha256,fonte,ano,descricao
mip_ibge_2015_12,raw/Matriz_de_Insumo_Produto_2015_Nivel_12.xls,E47E91361CA49F5A9AA1D181B2EE94A8C54381C287AF58449BCD455AD01B68E2,IBGE — Matriz de Insumo-Produto 2015,2015,MIP brasileira no nível de detalhamento 12; material de consulta.
mip_ibge_2015_20,raw/Matriz_de_Insumo_Produto_2015_Nivel_20.xls,5FD5274867CF43035756B97CFFEE9A3AF04B3CD6F72E30992FDB7AC6B8ACB5C6,IBGE — Matriz de Insumo-Produto 2015,2015,MIP brasileira no nível de detalhamento 20; material de consulta.
mip_ibge_2015_67,raw/Matriz_de_Insumo_Produto_2015_Nivel_67.xls,12D8F1A565F9668269532DF9D2ED896C2CFC5CE4C39B56D0F24300C7719A4B08,IBGE — Matriz de Insumo-Produto 2015,2015,MIP brasileira no nível de detalhamento 67.
sanguinet_azzoni_2011,raw/coeficientes_co2_sanguinet_azzoni_2011.csv,F49E8560468B541D6F2E2C60BFABD43A7953634FFBE0618759829C1DEF7D835D,"Sanguinet e Azzoni (2024), Tabela 2",2011,Coeficientes diretos de CO2 transcritos para 2011.
sanguinet_azzoni_2018,raw/coeficientes_co2_sanguinet_azzoni_2018.csv,99F26B00D2AD794EE5925C7FD5B4A87D975A8117AF8379C31D7C4BE930D027F7,"Sanguinet e Azzoni (2024), Tabela 2",2018,Coeficientes diretos de CO2 transcritos para 2018.
coeficientes_co2_exterior_proxy_brasil,raw/coeficientes_co2_exterior_proxy_brasil.csv,E725E1F048C1A22AD393FFA34EE93B1D5BC0E851B5BDB5D2EF5D349617544953,Cenário de referência do projeto,"2011, 2018",Intensidades do exterior aproximadas pelas intensidades brasileiras.
inversa_leontief_exterior_proxy_brasil_2015,raw/inversa_leontief_exterior_proxy_brasil_2015.csv,F8F323ABC8DDB3C26C5FEAADDFE3A4ED3DB7C2251F5F4F8D8F32C4D627A5E7EB,Cenário de referência do projeto,2015,Tecnologia do exterior aproximada pela inversa de Leontief brasileira de 2015.
matriz_emissoes_producao_2015,outputs/matriz_emissoes_producao_2015.csv,99DF37C9CCE571783DB0D54280766F53F4E6FBB577E1EA74AE25AAB218CAE714,analise_matriz_insumo_produto.ipynb,2015,Matriz P: emissoes brasileiras por destino da demanda final.
matriz_emissoes_consumo_2015,outputs/matriz_emissoes_consumo_2015.csv,CBC6A595F72F234CAF1BFA4EC84885D5E804540BBFC9CCD4C480273298FA0238,analise_matriz_insumo_produto.ipynb,2015,Matriz C: emissoes nacionais e externas do consumo brasileiro.
setores_mip_2015,outputs/setores_2015.csv,6E2B4C662EC615249E5C2E8CFCE0D77D18F4B4A14B9E51999394EB3010A3B643,analise_matriz_insumo_produto.ipynb,2015,Catalogo de atividades exportado pela etapa MIP.
